Wall time,Step,Value
1596474663.478017,0,0.37945258617401123
1596474670.19558,1,0.26076099276542664
1596474676.907971,2,0.2009253352880478
1596474683.541172,3,0.18089640140533447
1596474690.202953,4,0.16136732697486877
1596474696.935168,5,0.14505203068256378
1596474703.606546,6,0.13706648349761963
1596474710.276181,7,0.14869721233844757
1596474716.951087,8,0.13277950882911682
1596474723.621619,9,0.13654887676239014
1596474730.344424,10,0.12557005882263184
1596474737.020423,11,0.12048043310642242
1596474743.696462,12,0.10880691558122635
1596474750.452307,13,0.09908346831798553
1596474757.169251,14,0.1179535761475563
1596474763.839988,15,0.10327628999948502
1596474770.88516,16,0.1295129954814911
1596474777.656263,17,0.11184576153755188
1596474784.61711,18,0.10279890894889832
1596474791.409307,19,0.0991799607872963
1596474798.172327,20,0.09278319776058197
1596474804.816698,21,0.0976489707827568
1596474811.428798,22,0.09330207854509354
1596474818.054893,23,0.08876006305217743
1596474824.664855,24,0.08431804180145264
1596474831.304864,25,0.08708631992340088
1596474837.931466,26,0.0750325545668602
1596474844.639829,27,0.08436784148216248
1596474851.283411,28,0.08298809081315994
1596474857.939834,29,0.07610525190830231
1596474864.574002,30,0.07395681738853455
1596474871.17668,31,0.07323066890239716
1596474877.830414,32,0.07757667452096939
1596474884.456826,33,0.07195822894573212
1596474891.122548,34,0.07016593962907791
1596474897.794659,35,0.07029883563518524
1596474904.450262,36,0.07534722983837128
1596474911.133837,37,0.07053730636835098
1596474917.808457,38,0.05847328528761864
1596474924.4046,39,0.05933075770735741
1596474931.041154,40,0.06124093756079674
1596474937.697872,41,0.0730074867606163
1596474944.384549,42,0.06248902529478073
1596474951.009228,43,0.06616450101137161
1596474957.671502,44,0.06235726550221443
1596474964.334457,45,0.06286198645830154
1596474971.010641,46,0.059052713215351105
1596474977.649842,47,0.0600849874317646
1596474984.369804,48,0.06583733856678009
1596474991.016331,49,0.05843411386013031
1596474997.716386,50,0.059367842972278595
1596475004.359158,51,0.06197848543524742
1596475010.970512,52,0.05785444751381874
1596475017.690544,53,0.05757887661457062
1596475024.367766,54,0.05745865777134895
1596475031.002823,55,0.050277967005968094
1596475037.668974,56,0.06368552893400192
1596475044.340266,57,0.05537433549761772
1596475051.012575,58,0.05578457936644554
1596475057.669604,59,0.047809943556785583
1596475064.321134,60,0.048492807894945145
1596475070.988798,61,0.05751747637987137
1596475077.599175,62,0.05162021145224571
1596475084.275252,63,0.05017373338341713
1596475090.988995,64,0.05425921082496643
1596475097.651076,65,0.04304690286517143
1596475104.316532,66,0.05082632228732109
1596475111.000857,67,0.05301407724618912
1596475117.659389,68,0.05552138760685921
1596475124.335576,69,0.054430801421403885
1596475130.967791,70,0.04681963846087456
1596475137.644482,71,0.0409056581556797
1596475144.298178,72,0.04959750175476074
1596475150.962199,73,0.04354207590222359
1596475157.633903,74,0.048713162541389465
1596475164.295785,75,0.044572863727808
1596475170.957586,76,0.04755715653300285
1596475177.618837,77,0.05109323933720589
1596475184.344365,78,0.04437417909502983
1596475190.961608,79,0.051815565675497055
1596475197.644384,80,0.04369991272687912
1596475204.307747,81,0.05530721694231033
1596475210.966608,82,0.049336228519678116
1596475217.581136,83,0.04580482468008995
1596475224.258028,84,0.05151800438761711
1596475230.90434,85,0.03899257630109787
1596475237.539852,86,0.0390499085187912
1596475244.188689,87,0.04751696065068245
1596475250.861667,88,0.03686937317252159
1596475257.509898,89,0.04315373674035072
1596475264.171493,90,0.042576733976602554
1596475270.84113,91,0.04095611348748207
1596475277.528705,92,0.03979715332388878
1596475284.163147,93,0.039828937500715256
1596475290.79139,94,0.04001012071967125
1596475297.492744,95,0.04571480304002762
1596475304.129632,96,0.047240614891052246
1596475310.831057,97,0.043044622987508774
1596475317.499322,98,0.044711995869874954
1596475324.130951,99,0.03864147141575813
1596475330.759722,100,0.04060252010822296
1596475337.432499,101,0.05400418862700462
1596475344.096647,102,0.040636807680130005
1596475350.729622,103,0.03485150635242462
1596475357.389787,104,0.03762305900454521
1596475364.004061,105,0.04688385874032974
1596475370.654018,106,0.04653070494532585
1596475377.268749,107,0.042059458792209625
1596475383.976809,108,0.04357263445854187
1596475390.668361,109,0.04677071049809456
1596475397.337789,110,0.04479357227683067
1596475404.003348,111,0.03812975063920021
1596475410.693816,112,0.040005654096603394
1596475417.370925,113,0.04579637572169304
1596475424.058331,114,0.03365235775709152
1596475430.753037,115,0.030755145475268364
1596475437.426715,116,0.03513206169009209
1596475444.024802,117,0.034664951264858246
1596475450.712348,118,0.03408222272992134
1596475457.35457,119,0.03926267474889755
1596475464.047179,120,0.04162318632006645
1596475470.689614,121,0.044863082468509674
1596475477.384018,122,0.03657425194978714
1596475484.011289,123,0.03355030342936516
1596475490.642262,124,0.035043977200984955
1596475497.291522,125,0.042100969702005386
1596475503.955799,126,0.03502430021762848
1596475510.700541,127,0.033775363117456436
1596475517.428952,128,0.03904248774051666
1596475524.048576,129,0.04470737650990486
1596475530.734338,130,0.04131514951586723
1596475537.375957,131,0.03469371423125267
1596475544.097462,132,0.03845887631177902
1596475550.735791,133,0.036258574575185776
1596475557.348051,134,0.041744623333215714
1596475563.975064,135,0.03440741077065468
1596475570.659745,136,0.041935160756111145
1596475577.295766,137,0.041896089911460876
1596475583.910496,138,0.04449581727385521
1596475590.62299,139,0.04671735689043999
1596475597.322622,140,0.036120057106018066
1596475604.014925,141,0.040911756455898285
1596475610.700906,142,0.033857446163892746
1596475617.340042,143,0.03593142330646515
1596475623.975701,144,0.034201424568891525
1596475630.667651,145,0.041474584490060806
1596475637.408241,146,0.035583481192588806
1596475644.100798,147,0.03127260506153107
1596475650.734239,148,0.03547341004014015
1596475657.380963,149,0.03745647892355919
1596475664.054431,150,0.04348301887512207
1596475670.747682,151,0.03248973935842514
1596475677.40011,152,0.029364414513111115
1596475684.027777,153,0.029783446341753006
1596475690.664247,154,0.03772653266787529
1596475697.285387,155,0.035512957721948624
1596475703.95836,156,0.032035600394010544
1596475710.574281,157,0.03582000359892845
1596475717.231168,158,0.03835397958755493
1596475723.918589,159,0.03088771551847458
1596475730.568948,160,0.027166925370693207
1596475737.203003,161,0.04714285209774971
1596475743.935032,162,0.029406480491161346
1596475750.595634,163,0.03950713202357292
1596475757.233605,164,0.03291204571723938
1596475763.883549,165,0.036471325904130936
1596475770.535277,166,0.03189420327544212
1596475777.17708,167,0.036286354064941406
1596475783.844967,168,0.026598406955599785
1596475790.504689,169,0.032668717205524445
1596475797.179232,170,0.03891801834106445
1596475803.820343,171,0.034318286925554276
1596475810.488922,172,0.024481704458594322
1596475817.126969,173,0.035713791847229004
1596475823.932682,174,0.0323060043156147
1596475830.577019,175,0.03673114627599716
1596475837.266586,176,0.03197320178151131
1596475843.947841,177,0.0401453822851181
1596475850.585132,178,0.03731302544474602
1596475857.243818,179,0.04030421003699303
